iter	Passed	Remaining
0	1	158
1	2	146
2	4	142
3	5	134
4	6	130
5	8	131
6	9	132
7	11	129
8	12	127
9	13	124
10	15	124
11	16	122
12	17	120
13	19	118
14	20	116
15	22	116
16	23	116
17	25	114
18	26	114
19	28	112
20	29	110
21	30	108
22	31	106
23	33	105
24	34	104
25	36	102
26	37	102
27	39	100
28	40	99
29	41	97
30	42	95
31	44	93
32	45	92
33	46	90
34	48	89
35	49	88
36	50	86
37	52	85
38	53	82
39	54	81
40	55	80
41	57	78
42	58	77
43	59	75
44	60	74
45	62	73
46	63	72
47	65	70
48	66	69
49	67	67
50	69	66
51	70	64
52	71	63
53	72	62
54	74	60
55	75	59
56	76	58
57	78	56
58	79	55
59	80	53
60	82	52
61	83	51
62	85	50
63	87	49
64	89	48
65	93	48
66	97	48
67	99	46
68	101	45
69	102	44
70	104	42
71	106	41
72	110	40
73	112	39
74	137	45
75	139	43
76	140	42
77	142	40
78	166	44
79	167	41
80	169	39
81	171	37
82	172	35
83	174	33
84	176	31
85	178	28
86	179	26
87	181	24
88	189	23
89	193	21
90	196	19
91	211	18
92	223	16
93	237	15
94	238	12
95	246	10
96	253	7
97	260	5
98	266	2
99	271	0
